,Title,Published_date,Views,Likes,Comments
123,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,27527,677,155
124,git for Data Science Made Simple... (Hopefully),2020-10-23,20311,887,92
125,The PODCAST you might have asked for?,2020-10-19,2122,94,44
126,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6769,450,113
127,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14451,420,47
128,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6890,144,62
129,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11976,570,83
130,Sh*t Data Scientists Say (Parody),2020-10-05,9575,581,144
131,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8630,366,93
132,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7080,288,61
133,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11792,293,69
134,5 Essential Data Science Projects for Your Portfolio,2020-09-26,73438,3115,206
135,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5192,198,64
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,12717,485,58
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7484,254,34
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5114,196,56
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4315,157,35
140,The 5 Pillars of Success I Live By,2020-09-11,10145,873,152
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1892,78,25
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4047,163,43
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11847,740,144
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18010,573,89
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18097,795,93
146,Why I'm Starting Data Science Over Again.,2020-08-29,50774,2603,450
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15241,634,77
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13051,468,55
149,Don't Buy My Course..,2020-08-21,7344,360,146
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29128,1115,166
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3246,128,40
152,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6333,538,108
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5032,184,39
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12668,399,53
155,The Plagiarism Problem in Data Science,2020-08-07,13085,628,145
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14458,602,89
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4924,186,56
158,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11464,582,90
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2325,116,34
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5653,250,112
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8234,247,199
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1860,98,27
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29253,566,90
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,339646,7471,429
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30357,1125,121
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3646,135,50
167,The Best Computer for Data Science Beginners,2020-07-10,38644,859,158
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6170,231,82
169,Critiquing MY OWN Data Science Resume,2020-07-06,12695,398,88
170,Where to Start Learning Data Science,2020-07-03,18884,782,127
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4168,198,35
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4612,176,52
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16568,552,79
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2421,82,40
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2386,139,49
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4387,168,46
177,Why You're Struggling to Learn Data Science,2020-06-12,15278,1009,159
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11919,360,70
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23999,687,146
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5713,154,53
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,73943,2213,271
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20993,489,81
183,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,55802,1984,178
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11264,178,53
185,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,132632,4482,193
186,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3104,147,115
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4537,153,74
188,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1396259,48995,1989
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5569,196,42
190,What You Need to Know for a Data Science Internship,2020-05-01,22346,1214,60
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8376,349,54
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14987,457,103
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3148,85,24
194,5 Tips for Crushing the Work From Home Life,2020-04-20,5433,203,38
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,21805,739,129
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,29834,733,98
197,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,44710,909,155
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,73141,1899,213
199,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,81642,1769,277
200,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,130093,3512,620
201,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,200053,5071,175
202,When Data Science Goes Wrong,2020-03-30,1811,106,32
203,How to ULTRALEARN Data Science,2020-03-27,62001,3824,169
204,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4447,268,50
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13184,469,45
206,The Secret Data Scientists Don't Want You to Know,2020-03-16,10789,1139,103
207,The 5 Stages of Learning Data Science,2020-03-13,17560,1296,78
208,Can You Learn Data Science Without a Computer?,2020-03-11,1755,119,14
209,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,347543,21218,620
210,The Data Science Projects that Got Me a Job,2020-03-06,41110,1401,41
211,How to Integrate Data Science into Your Business,2020-03-02,3385,129,18
212,The Problem with Data Science,2020-02-28,3798,154,19
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1182,46,16
214,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,131018,2497,97
215,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,329318,17852,527
216,Data Science Advice for College Students,2020-02-14,68984,1963,197
217,Avoid These Data Science Resume Mistakes!,2020-02-10,28549,1248,62
218,Data Science Explained with ... Cooking?,2020-02-07,5350,315,48
219,The 4 Types of Sports Analytics Projects,2020-02-03,31811,1040,62
220,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,590,18,13
221,How I Learned Data Science,2020-01-27,94182,2695,210
222,What is Sports Analytics Really?,2020-01-20,21564,619,73
223,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,111637,3141,575
224,How To Learn Programming for Data Science [3 Steps],2020-01-13,30135,1982,96
225,Data Science Fundamentals: SQL Queries,2020-01-10,6615,216,35
226,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3157,152,14
227,The 9 Books That Changed My Perspective in 2019,2020-01-03,3396,180,25
228,The Data Science Interview: What to Expect,2019-12-30,8640,381,32
229,5 Data Science Resolutions for 2020,2019-12-27,475,25,12
230,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,17158,604,93
231,Collision Course: Sports Betting + Data Science,2019-12-20,18629,509,27
232,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100980,2931,204
233,5 Sports Analytics Books to Get You Started,2019-12-13,11085,418,59
234,Math Needed for Mastering Data Science,2019-12-09,57539,2899,222
235,The 5 Stages of Data Science Adoption,2019-12-06,1332,69,17
236,How YOU Can Land a Sports Analytics Job,2019-12-02,70393,3106,231
237,Data Science Fundamentals: Linear Regression,2019-11-29,6415,172,42
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1129,54,12
239,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6266,274,26
240,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46356,1762,80
241,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5959,137,31
242,Why Selling Is An Important Data Science Skill,2019-11-04,1637,81,13
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2879,73,18
244,Why is Balance Important in Data Science?,2019-10-16,708,32,13
245,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11963,585,54
246,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3945,116,34
247,6 Habits of Successful Data Scientists,2019-09-13,2242,95,17
248,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4761,106,9
249,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,522,24,29
250,Is Data Science Right For You?,2019-08-18,51405,1183,109
251,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15003,393,55
252,How To Get Data Science Experience (Without a Job),2019-08-08,29652,1389,74
253,Take Your Data Science Projects From Good to Great,2019-08-05,1627,108,11
254,The Projects You Should Do To Get A Data Science Job,2019-07-30,151787,5725,255
255,What Does a Data Scientist Actually Do?,2019-07-19,46888,1283,81
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13075,353,43
257,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18069,532,61
258,Data Science: Pros and Cons,2019-06-30,5360,221,18
259,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,25247,1213,89
260,My Top 5 Data Science Internship Tips,2019-06-15,11992,498,23
261,Golf STATS: Strokes Gained Explained,2019-06-07,7618,159,30
262,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,619,45,5
263,What I Learned From My Three Degrees,2019-05-17,1273,61,12
264,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25681,1071,66
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1256,40,2
266,Should You Learn R for Data Science?,2019-04-25,21431,570,71
267,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46506,856,331
268,Work From Home Data Scientist: Day in the Life,2019-04-12,28134,759,101
269,Where to Look for Data Science Jobs,2019-03-29,3018,120,9
270,Data Science: Startup vs. Large Corporation,2019-03-21,2211,76,4
271,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6200,175,26
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4229,180,15
